Evaluations,BestCost
0,2419.6828184213314
100,1123.0068479644344
301,1121.7130613062595
502,1098.4706771939716
703,1060.4713607905423
904,1048.519989169058
1306,1024.962455393394
1507,1012.2147513557678
1708,1003.166679747755
1909,996.9892950840584
2110,989.2858330461138
2311,979.782559455876
2512,973.1264802243102
2914,956.3002708342085
3115,945.1195424445441
3316,944.799590790207
3517,940.8131266905783
3718,935.7461259960639
3919,934.1153484970814
4120,931.5443792082906
4321,928.3835717149179
4522,921.385949046528
4723,908.1792362617299
4924,902.3332515426551
5125,902.013299888318
5326,887.4589160463785
5929,886.6889173705364
7939,886.5972607121604
11356,881.6210631239298
27637,880.0122389113571
29044,875.7448262120465
41707,874.9419971330869
42109,874.9419971330868
42712,871.3270947926077
73063,870.2909635445686
73264,865.6845420841174
74671,863.1157660991781
