Evaluations,BestCost
0,1577.442593690918
100,835.4138543052571
302,801.9080707493603
504,783.1647211211288
706,767.9806337995034
908,748.5462504722375
1312,737.3427060298463
1716,708.5002963502473
1918,707.4698306072738
2120,700.6025499488377
2524,700.6025499488376
2726,694.0231261463255
2928,692.9926604033521
3534,691.1162224684994
3938,690.5592212521083
11614,688.2927916878106
13028,685.7474642423688
14240,684.1405492277473
15048,682.3210737096716
16260,676.7261983454483
16664,673.885323423961
19088,669.7214955830526
109584,669.4113388251886
109786,665.8737589327008
