Evaluations,BestCost
0,2508.040441674207
100,1054.3890467474891
302,1029.9717394554038
504,1011.8579719229186
706,1005.8997404045019
908,982.6070845397594
1110,974.157233035452
1312,966.1196023694134
1514,964.8178449855503
1716,960.2425201508426
1918,958.6985336477641
2120,955.8912574894506
2726,952.7316725438701
8786,951.8788813235745
10200,950.6703988015878
10604,946.068966257999
15250,946.0689662579988
16664,939.5233590534644
16866,938.2436007362869
18482,927.1542428081295
26562,925.0645852308985
244116,923.1747559931648
245328,921.8092301586316
