Evaluations,BestCost
0,3633.448679502508
100,1331.5850646152808
299,1285.4767189016334
498,1276.5522121880977
697,1235.3787723588343
896,1199.966790649305
1095,1153.7444789870115
1294,1138.6819396990968
1493,1136.046355082895
1692,1088.9239377113167
1891,1062.0987302422623
2090,1034.887334433682
2289,1033.350325149977
2488,1028.516116470973
2687,1018.8153247822727
2886,1007.1368364424424
3085,993.0802642811024
3284,984.9352713664539
3483,973.1517197447614
3682,971.0210797385884
3881,965.5368089579924
4080,954.1076401592735
4279,950.0727234863098
4478,949.6059899180586
4876,944.0211051899728
5274,941.7915650645148
5473,939.517629516997
5672,931.1893384299542
6070,931.1213459033393
6269,925.751321774371
6468,917.9714517749442
6667,917.3742968381392
7065,913.4033450306642
7662,913.3303521435537
7861,911.6208722516793
8060,909.0672795235973
14627,908.54430923895
15821,908.2392771860964
16219,907.9820433000084
16617,906.526093636813
21990,906.490180347155
22189,905.9744100167001
199896,905.8561514352305
200294,905.8561514352303
209448,904.3434265511512
