Instance,BestCost,MeanCost,StdDevCost,MeanIterations,Satisfability
E-n101-k14,1180.9685938736825,1203.1165126219098,21.939136699908403,139261.6,100/100
E-n101-k8,829.6293132453744,884.8374704519047,47.69146315452228,138186.4,100/100
E-n22-k4,375.2797871480125,382.9082432594174,4.020622640173694,36311.2,21/21
E-n23-k3,568.5625010705219,568.5625010705219,0.0,7319.2,22/22
E-n30-k3,538.7946864904361,541.3069152221367,5.024457463401132,76055.2,29/29
E-n33-k4,842.9898296434305,865.2306616267576,16.119607196736666,70640.8,32/32
E-n51-k5,570.5678621786927,590.8935792499,18.86553832409435,96253.6,50/50
E-n76-k10,945.5762854970878,972.4409630021356,22.00721634710291,178621.6,75/75
E-n76-k14,1114.8171716670422,1167.8965928609202,33.641890879924986,186685.6,75/75
E-n76-k7,700.4068002000099,746.4238166646433,35.6089170733891,176586.4,75/75
E-n76-k8,769.8388862535585,799.2756453225886,17.79112541927901,170557.6,75/75
E-n101-k14,1159.7388851906694,1182.0166434690768,19.644686393676903,122220.0,100/100
E-n76-k8,813.3576165019407,836.5827416427422,24.526790979469567,72419.8,75/75
E-n101-k14,1140.1662389438477,1169.6139858409674,23.69869156066883,171860.0,100/100
E-n101-k14,1155.3233986392718,1195.5998463133421,32.91778950045651,138300.0,100/100
E-n101-k8,868.8256547164507,894.8998010983689,23.400212285704804,159140.8,100/100
E-n22-k4,375.2797871480124,385.72887681466386,12.97993131100149,132961.0,21/21
E-n23-k3,568.5625010705219,568.5625010705219,0.0,2980.0,22/22
E-n30-k3,538.7946864904361,540.1858000160447,3.110624407680179,153985.6,29/29
E-n33-k4,842.9898296434305,867.7310371054849,19.799800686585584,42327.8,32/32
E-n51-k5,575.5793943689002,600.0104837157982,19.22906435734649,28662.8,50/50
E-n76-k10,911.0873277896358,958.0812145618378,37.63872383822791,131925.2,75/75
E-n76-k14,1139.4697076094262,1166.9359317029569,20.538517653853173,176284.4,75/75
E-n76-k7,696.1638206032897,709.5468000641924,13.93803357036469,94699.4,75/75
E-n76-k8,786.8758737533067,853.6519997816631,40.27862547971221,89303.8,75/75
