Instance,Configuration,Cost,TimeMs,BestEval
A-n46-k7,nn_sa,1002.4165131068395,2673,71908
A-n46-k7,nn_lns,989.6072772688825,790,66724
A-n46-k7,sa_lns,1019.0980789895111,3699,196516
A-n46-k7,all,971.7526041783617,3404,14116
A-n48-k7,baseline,1160.577852554649,476,137764
A-n48-k7,nn,1107.3930799137413,463,243748
A-n48-k7,sa,1234.3664474172233,3701,211492
A-n48-k7,lns,1152.5548451955501,844,21028
A-n48-k7,nn_sa,1114.5839196291624,3905,286756
A-n48-k7,nn_lns,1120.6697115335996,902,123748
A-n48-k7,sa_lns,1136.6893113003337,3770,92068
A-n48-k7,all,1177.0640654869253,4085,39460
A-n53-k7,baseline,1316.833319966427,542,101476
A-n53-k7,nn,1165.3544990772111,529,35620
A-n53-k7,sa,1111.6660968068306,4744,341092
A-n53-k7,lns,1059.6697795489702,805,44260
A-n53-k7,nn_sa,1187.9601686508413,4574,347428
A-n53-k7,nn_lns,1074.964372510416,815,34468
A-n53-k7,sa_lns,1081.8715500211092,4857,273892
A-n53-k7,all,1042.904000119473,5350,326692
A-n54-k7,baseline,1331.7755252640827,560,217252
A-n54-k7,nn,1246.6682305689965,488,106852
A-n54-k7,sa,1344.5920421684514,5718,140068
A-n54-k7,lns,1290.3246256893908,876,275812
A-n54-k7,nn_sa,1230.8021756043236,4663,80740
A-n54-k7,nn_lns,1239.6188381055279,912,32548
A-n54-k7,sa_lns,1272.9841798405757,5385,54244
A-n54-k7,all,1254.840160892646,4903,2980
A-n55-k9,baseline,1231.7931044692257,434,312100
A-n55-k9,nn,1125.3902601600248,430,61540
A-n55-k9,sa,1310.8287631171524,3150,144292
A-n55-k9,lns,1188.620133153868,738,136612
A-n55-k9,nn_sa,1104.1839186750794,2902,112420
A-n55-k9,nn_lns,1160.4494428518683,614,40804
A-n55-k9,sa_lns,1121.1476867733527,3402,315940
A-n55-k9,all,1125.9741223163703,3327,336868
A-n60-k9,baseline,1552.1002114643738,574,78052
A-n60-k9,nn,1603.0456990389375,459,56164
A-n60-k9,sa,1536.409283120586,4616,326500
A-n60-k9,lns,1500.1511205651022,887,39076
A-n60-k9,nn_sa,1578.2792816517276,5353,130852
A-n60-k9,nn_lns,1419.161314960767,1194,256036
A-n60-k9,sa_lns,1446.6581898674826,4776,211876
A-n60-k9,all,1427.0887488863684,4862,63076
A-n61-k9,baseline,1183.8641742216146,536,103588
A-n61-k9,nn,1114.3581371558314,706,68452
A-n61-k9,sa,1202.5449615131356,5378,335908
A-n61-k9,lns,1127.5043704471684,912,108580
A-n61-k9,nn_sa,1116.5259028957748,5128,157924
A-n61-k9,nn_lns,1095.6775071861932,1071,347044
A-n61-k9,sa_lns,1153.9619510723282,5153,65572
A-n61-k9,all,1048.0604546952243,5048,66340
A-n62-k8,baseline,1547.7725441489238,652,340516
A-n62-k8,nn,1438.5033645720166,590,189220
A-n62-k8,sa,1592.6097564944112,6354,342244
A-n62-k8,lns,1463.5854415493677,960,313060
A-n62-k8,nn_sa,1524.9569955150002,6426,49828
A-n62-k8,nn_lns,1424.458833152097,1045,15652
A-n62-k8,sa_lns,1392.9459169854645,7546,278692
A-n62-k8,all,1447.9060560872995,8865,334564
A-n63-k10,baseline,1629.3685719372727,761,172324
A-n63-k10,nn,1429.4369118628138,731,307684
A-n63-k10,sa,1478.5861638339552,4515,156004
A-n63-k10,lns,1374.3678636817863,904,195748
A-n63-k10,nn_sa,1458.6549576044808,5078,348196
A-n63-k10,nn_lns,1339.210908403444,1097,299044
A-n63-k10,sa_lns,1388.8432791306413,5893,73636
A-n63-k10,all,1374.390351670913,5500,192676
A-n63-k9,baseline,1849.7551674216402,583,323812
A-n63-k9,nn,1803.0147284826246,574,167908
A-n63-k9,sa,2029.116751445142,5256,344548
A-n63-k9,lns,1755.8114171875502,898,85348
A-n63-k9,nn_sa,1793.2855996401781,5405,223588
A-n63-k9,nn_lns,1744.0501938638354,872,203428
A-n63-k9,sa_lns,1716.7045510792823,5834,132964
A-n63-k9,all,1845.2175363303286,5836,344548
A-n64-k9,baseline,1707.6628081030872,729,202084
A-n64-k9,nn,1584.4886318753545,704,109540
A-n64-k9,sa,1625.7975924774169,6302,336100
A-n64-k9,lns,1582.1558178899354,992,110500
A-n64-k9,nn_sa,1609.1113170127524,5933,57316
A-n64-k9,nn_lns,1454.3297699693296,1001,132772
A-n64-k9,sa_lns,1496.8468329989355,7296,220708
A-n64-k9,all,1481.7818534302662,7417,81124
A-n65-k9,baseline,1490.6204343260251,597,312868
A-n65-k9,nn,1327.146642901581,574,35620
A-n65-k9,sa,1493.7750727782002,4945,84772
A-n65-k9,lns,1301.9411735181852,908,48868
A-n65-k9,nn_sa,1344.3196803850465,4775,151012
A-n65-k9,nn_lns,1306.4974566358776,859,25060
A-n65-k9,sa_lns,1317.3731642908172,5505,74788
A-n65-k9,all,1363.6663474354789,6199,96676
A-n69-k9,baseline,1378.8616709008766,632,306916
A-n69-k9,nn,1400.4402829853216,654,189028
A-n69-k9,sa,1352.2389949363858,7129,152164
A-n69-k9,lns,1246.5801413691502,1039,22756
A-n69-k9,nn_sa,1275.4755985664067,8060,343012
A-n69-k9,nn_lns,1272.0097404274761,998,151204
A-n69-k9,sa_lns,1236.3771604166539,7816,347812
A-n69-k9,all,1245.2927951748256,8119,33124
A-n80-k10,baseline,2023.7649643816926,729,246628
A-n80-k10,nn,1894.0490173472035,875,324964
A-n80-k10,sa,2016.5989909197017,9599,312292
A-n80-k10,lns,1953.344798210721,1292,78244
A-n80-k10,nn_sa,1935.1896123539586,9124,344548
A-n80-k10,nn_lns,1910.319272189193,1254,188644
A-n80-k10,sa_lns,2036.3445343512387,9936,115108
A-n80-k10,all,1949.194786770322,11251,241636
B-n31-k5,baseline,676.0884122584414,425,239332
B-n31-k5,nn,691.292632957199,410,71140
B-n31-k5,sa,722.3197533068051,2779,17380
B-n31-k5,lns,686.9858879769447,861,4324
B-n31-k5,nn_sa,705.0284048717319,2416,57316
B-n31-k5,nn_lns,678.7061896423844,772,31972
B-n31-k5,sa_lns,690.1043181253383,2461,11620
B-n31-k5,all,687.4845822643982,2472,222052
B-n34-k5,baseline,899.6019630646305,495,58660
B-n34-k5,nn,815.4320979829359,496,31012
B-n34-k5,sa,855.8041402842678,3795,223588
B-n34-k5,lns,793.9343193096976,913,286180
B-n34-k5,nn_sa,814.7199054684017,2860,19492
B-n34-k5,nn_lns,790.0603505793069,752,205156
B-n34-k5,sa_lns,796.6585009201053,3465,28324
B-n34-k5,all,790.0603505793069,3192,186724
B-n35-k5,baseline,1149.46989813265,446,76324
B-n35-k5,nn,993.7537638088096,448,154852
B-n35-k5,sa,1002.0191551055603,3379,300388
B-n35-k5,lns,980.7330140567738,995,219748
B-n35-k5,nn_sa,989.5479698728691,3319,83620
B-n35-k5,nn_lns,971.1785923870907,1122,55012
B-n35-k5,sa_lns,981.9458997381745,4468,303652
B-n35-k5,all,970.6186114624442,4749,2212
B-n38-k6,baseline,854.5714903365873,667,16420
B-n38-k6,nn,848.3278020359709,672,60964
B-n38-k6,sa,808.9454782923897,3790,75364
B-n38-k6,lns,821.5533318995447,1137,105124
B-n38-k6,nn_sa,826.6411655138262,3316,347428
B-n38-k6,nn_lns,825.2511561380314,1079,44836
B-n38-k6,sa_lns,819.9964161670387,5107,4132
B-n38-k6,all,843.7027275566223,3874,46564
B-n39-k5,baseline,713.6705634217496,547,21796
B-n39-k5,nn,567.5748320814723,537,199972
B-n39-k5,sa,686.2342741238087,4165,41764
B-n39-k5,lns,563.1693058873681,1018,33508
B-n39-k5,nn_sa,601.2796999778162,4803,348580
B-n39-k5,nn_lns,565.2474496620065,937,6052
B-n39-k5,sa_lns,593.3667969320978,5376,47332
B-n39-k5,all,568.8426309500963,5343,344164
B-n41-k6,baseline,851.2207615051321,453,171940
B-n41-k6,nn,941.0862419246982,460,188644
B-n41-k6,sa,955.9984849306321,3349,116260
B-n41-k6,lns,847.4934707578491,769,20452
B-n41-k6,nn_sa,919.1611393960495,3256,326116
B-n41-k6,nn_lns,918.1012660724792,760,25828
B-n41-k6,sa_lns,955.9978377791973,3266,184996
B-n41-k6,all,912.6531049902865,3558,221092
B-n43-k6,baseline,908.918182761609,593,117796
B-n43-k6,nn,782.7825734642711,593,62308
B-n43-k6,sa,805.7170745821261,4161,61156
B-n43-k6,lns,758.3506137703392,779,315172
B-n43-k6,nn_sa,812.391294675921,4642,344932
B-n43-k6,nn_lns,765.2472633310244,801,42724
B-n43-k6,sa_lns,760.6099074980868,4385,139684
B-n43-k6,all,760.5265843309647,5345,56356
B-n44-k7,baseline,1105.2940008499968,958,82084
B-n44-k7,nn,932.5531959670175,1345,22756
B-n44-k7,sa,1068.148584016619,7301,210340
B-n44-k7,lns,974.9633711835634,1797,187492
B-n44-k7,nn_sa,959.13576740565,6813,32740
B-n44-k7,nn_lns,931.7160002488165,1688,21028
B-n44-k7,sa_lns,1015.2576141035798,5223,133924
B-n44-k7,all,931.7160002488165,4770,22372
B-n45-k5,baseline,934.2123518059061,609,80548
B-n45-k5,nn,826.7836063890968,621,14884
B-n45-k5,sa,1035.4310998202366,8055,59236
B-n45-k5,lns,766.4207864578285,1015,64036
B-n45-k5,nn_sa,826.7836063890968,9169,344740
B-n45-k5,nn_lns,803.7332545675915,1348,248548
B-n45-k5,sa_lns,762.9462543768122,8867,346852
B-n45-k5,all,803.1783856127587,8030,99940
B-n45-k6,baseline,842.949164986607,673,44644
B-n45-k6,nn,817.3265852316779,589,209188
B-n45-k6,sa,723.5794848103083,4898,344548
B-n45-k6,lns,725.8563797062748,831,307300
B-n45-k6,nn_sa,793.1862963237447,4852,155620
B-n45-k6,nn_lns,752.4905806790589,1002,331684
B-n45-k6,sa_lns,725.9974447476397,6445,45988
B-n45-k6,all,717.5685586632151,6048,236836
B-n50-k7,baseline,856.5546137854856,672,67300
B-n50-k7,nn,823.7193492305632,713,217828
B-n50-k7,sa,873.5133153519494,5629,340516
B-n50-k7,lns,754.1087008196085,1289,53860
B-n50-k7,nn_sa,893.073798552452,7995,10468
B-n50-k7,nn_lns,755.1455498898904,1110,21028
B-n50-k7,sa_lns,754.494000085918,6999,8356
B-n50-k7,all,744.2280442400831,7163,160996
B-n50-k8,baseline,1486.3920344927835,590,281380
B-n50-k8,nn,1335.5126887770566,711,72868
B-n50-k8,sa,1417.9989567711925,5512,95716
B-n50-k8,lns,1324.971430960547,1643,320356
B-n50-k8,nn_sa,1353.255922451055,6624,86116
B-n50-k8,nn_lns,1319.6026179555056,1180,238948
B-n50-k8,sa_lns,1352.0399792335104,5992,19300
B-n50-k8,all,1330.3316306511474,4947,146980
B-n51-k7,baseline,1405.7002384836726,633,49060
B-n51-k7,nn,1162.6321103765163,635,121252
B-n51-k7,sa,1236.9071278794634,5431,347620
B-n51-k7,lns,1020.7216250976534,1193,178660
B-n51-k7,nn_sa,1181.695915802827,5403,141220
B-n51-k7,nn_lns,1160.5894084741312,855,1252
B-n51-k7,sa_lns,1024.2859469670166,6044,9700
B-n51-k7,all,1160.589408474131,6341,116068
B-n52-k7,baseline,877.8546811370364,683,97060
B-n52-k7,nn,939.8194920883374,595,32548
B-n52-k7,sa,973.3505635628957,6572,71908
B-n52-k7,lns,837.5892071982131,1279,219364
B-n52-k7,nn_sa,911.9715060366161,6422,79972
B-n52-k7,nn_lns,771.9451134171235,1123,208036
B-n52-k7,sa_lns,761.3758854065419,6539,275428
B-n52-k7,all,752.4827791014302,8283,312484
B-n56-k7,baseline,800.4174947189401,1025,91492
B-n56-k7,nn,759.5032152152844,1315,86116
B-n56-k7,sa,960.6213845131115,9542,121444
B-n56-k7,lns,754.5555735424535,2029,50788
B-n56-k7,nn_sa,731.5252532178497,10466,99940
B-n56-k7,nn_lns,727.2042401010482,1678,38884
B-n56-k7,sa_lns,737.0376670480097,10212,54052
B-n56-k7,all,762.0947501353238,9185,68644
B-n57-k7,baseline,1318.7926456152502,834,76132
B-n57-k7,nn,1214.3990020881695,894,123172
B-n57-k7,sa,1462.0446963742688,6895,119140
B-n57-k7,lns,1176.9902651889045,1223,299236
B-n57-k7,nn_sa,1319.5891599707695,6763,248164
B-n57-k7,nn_lns,1147.6848719270738,1397,311524
B-n57-k7,sa_lns,1147.47738363041,9339,175972
B-n57-k7,all,1147.6357942900786,7906,228196
B-n57-k9,baseline,1842.9312010162303,731,203044
B-n57-k9,nn,1657.5868035095705,770,84772
B-n57-k9,sa,1799.518054594211,6187,217060
B-n57-k9,lns,1648.0957192945707,1167,295396
