Evaluations,BestCost
0,3074.964179051314
100,1117.7372297797572
296,1070.9978126756664
492,989.9809023529482
688,974.9154381443176
884,905.2940693304328
1080,898.2837143128216
1276,880.5028185581275
1472,855.7544638407805
1668,838.7706892749397
1864,834.8977466610638
2060,829.8783874390233
2256,812.8946128731827
2452,792.5362331199035
2648,791.201900144534
2844,788.5001832831558
3040,787.9976234976996
3236,779.4147354728028
3628,778.9454293873732
3824,777.4779936193784
4020,774.4919339416776
4216,773.7174697170992
5000,771.538033837797
5392,770.0705980698024
5980,769.4333179867299
6764,768.5263443868308
7156,767.7613693788771
12840,767.7578147920989
16172,765.7002906559118
16368,765.0107249448179
16564,762.8406913325548
16760,762.1087589513023
25188,761.7656132007947
26364,761.7656132007946
27736,759.8347980834849
207664,759.7335112350877
