Evaluations,BestCost
0,4138.514051845768
100,1605.2124248083362
300,1583.860516532836
500,1497.017340299694
700,1466.5467658901903
900,1387.875139687946
1100,1386.2901356353916
1300,1368.062502409896
1500,1360.754761772291
1700,1356.12987767536
1900,1343.5900252777442
2100,1336.3348773184714
2300,1334.2973319054008
2500,1331.0655727662256
2700,1326.6004563548627
2900,1326.2352104011873
3300,1322.7621176608486
3700,1321.537105148195
4300,1321.4698232692576
4700,1320.0538414139091
6100,1319.9819456492132
18500,1319.4879041060349
18900,1319.131612936288
