Evaluations,BestCost
0,1954.941553250089
100,886.7053415296654
299,864.3585402894248
498,858.1451119340875
697,852.5566899560403
896,848.6417002191341
1095,845.8918182873895
1294,834.2108800206458
1493,821.6330795168653
1692,819.970077604997
1891,816.415461836749
2090,814.6414943180414
2289,813.2787269916374
2488,812.8373896653815
2886,812.0718697911092
3682,809.1801845874812
4478,809.1636457580654
4677,799.381036139056
4876,795.6120016326042
5075,791.051838294471
23781,789.8484741078571
23980,789.8408678128492
