Evaluations,BestCost
0,2378.9194305711244
100,1174.5470034595396
296,1123.8441982230772
492,1084.827235034058
688,1082.5129016744715
884,1049.605347166021
1080,1047.124888794575
1276,1045.4786053298253
1472,1041.2767914331378
1668,1023.956366507272
1864,1017.4899640094194
2256,1013.704755926215
2452,1012.2571877074514
2648,1002.8229029965438
2844,996.2057750857776
3236,995.4004991939329
3628,994.8129372995165
4216,994.8129372995164
30676,992.8931296494808
30872,991.8756211827133
31068,990.2280765708203
