Evaluations,BestCost
0,2049.124275560716
100,946.2946008665135
296,916.5311627520593
492,859.6611785118655
688,820.2257542626203
884,817.3890786387544
1080,811.5304648725629
1276,809.6563280782058
1472,807.9467308105095
1668,800.3155679922376
2060,799.4460617473778
2256,799.0460691948863
2844,798.8620875348322
3040,796.2106387269117
3432,795.3344098418863
6568,795.2585959594742
15584,794.2733579660917
31460,794.0086047767488
32440,792.7798234737869
32636,792.7798234737868
197668,787.7188039118718
197864,787.1510742928549
198256,787.0745492322178
201000,787.0745492322177
