Evaluations,BestCost
0,1868.9134133724078
100,933.0731124233627
302,876.6380860390293
504,863.6698879878036
706,857.6387844302296
908,848.2915880918024
1110,830.5799943793527
1312,825.9730285676394
1514,817.085143540908
1918,813.9935295994138
2322,811.3684814664375
2524,808.3579194243122
2726,807.8726380500735
3332,805.755829104215
3736,805.7558291042149
3938,804.9918970817148
4948,802.1487616364025
5352,801.4839428870354
5756,800.7368069264753
5958,799.3466078078338
12220,797.5424075927266
14442,783.8897814055728
14644,783.2360045414047
22522,757.8117332102896
22926,750.3692665005071
23128,747.9514360653982
23330,746.2255990183608
24138,744.1018293463089
