Evaluations,BestCost
100,1471.0759583577571
292,1380.1122551222093
484,1345.7536953024874
676,1301.099350030208
868,1242.9327007373815
1060,1209.455816100366
1252,1188.966387175838
1444,1158.0520000364963
1636,1139.0089092611577
1828,1132.7893648038648
2020,1096.6486030051838
2212,1081.1300389958096
2404,1071.1890632012426
2596,1058.007466764386
2788,1016.0504279438784
2980,989.1842187914178
3172,983.2163052657893
3364,982.4088871518287
3556,964.0449133685736
3748,951.6633052915986
3940,942.2268753716198
4132,939.7329786991102
4324,937.9994880878569
4516,933.3559725362607
4708,929.7008048512313
4900,921.7395121669095
5092,907.8523440289462
5284,895.0809871870711
5668,885.1804497132629
5860,885.13889994775
6052,883.0556820424747
6244,878.2271803876039
6820,872.3863229324362
7012,868.6791435716618
7396,862.2134209558627
7588,860.4799303446096
7780,851.6742060363807
7972,845.8052301734862
8548,834.0500137298226
8740,831.0961898952103
9700,820.7584489466674
10084,814.9886792761545
10660,807.374687552754
11044,787.4456262628448
12388,781.9475160265392
12772,771.4735110211498
12964,768.3268387118492
13924,762.53738732951
14308,761.0205565534056
15268,757.7714227893729
17380,757.6730074512807
18148,752.1928856058566
19108,749.7354806293802
20644,743.9013741899469
21412,743.9013741899468
21604,741.6800766453974
21988,739.3128505419977
22180,733.9315879173574
22564,733.1525037654985
22948,732.2693756377417
24292,727.9051920009408
26980,722.3731499036116
27172,721.4658759358977
27748,717.9085291781394
27940,716.2392765010284
28132,712.4469296221446
31396,710.868674815433
34084,710.5869948238428
34276,709.0962600952696
36196,707.2065312497251
36772,707.0151845969476
38116,701.9525820474887
38500,699.9780515895563
38884,681.7782124259068
39844,681.4625976298421
44068,678.348863794982
44836,673.6733163534636
47908,672.2887974716571
54436,671.7174588686205
88036,671.2417337843619
151972,670.6183893778518
156580,665.1735759923072
160228,664.0060635810521
165028,662.8681087551026
165220,659.8714585845717
175972,656.6914514015439
180196,654.8904871655765
199204,653.2552677936515
203428,652.7227819974682
212836,651.1112365630597
248740,646.9707197444905
251428,646.9175670230161
260644,646.360565806625
264292,646.0733637355572
264676,641.514654141838
266212,640.3936423346972
266404,640.0780275386326
268708,639.886680885855
279268,638.5021620040485
340324,638.02643691979
