Evaluations,BestCost
100,2560.341194401495
292,2386.4933681581406
484,2333.828275668344
676,2261.9762015699202
868,2175.656984497896
1060,2143.0531398017883
1252,2089.2897572697593
1444,2037.9564286004575
1636,1975.9810938722746
1828,1938.144120789597
2020,1903.0263506823453
2212,1860.505758940864
2404,1799.0789064238086
2596,1761.2419333411306
2788,1725.4186723266262
2980,1708.9504189142372
3172,1675.4189304151967
3364,1663.501400131126
3556,1647.5332149872752
3748,1608.220210558086
3940,1595.7493568679886
4132,1590.2902207641328
4324,1566.701603936712
4516,1557.535228571606
4708,1540.7582670139766
5092,1538.654098595419
5284,1526.3196131644902
5476,1498.804592437739
5668,1495.350572925596
5860,1485.0883248526768
6052,1463.7954011105273
6244,1461.5676407624046
6820,1452.3952949910245
7012,1445.3324953311949
7396,1437.8717503965556
7780,1431.238933679314
7972,1429.3766234904247
8356,1426.430143723191
8548,1421.359204547818
9316,1419.221211806399
9892,1402.1323125677761
11620,1400.579449705079
12004,1384.1502335981684
12388,1371.1894118183907
12580,1371.0319448138735
13732,1345.4478628840252
13924,1329.9769474536618
14116,1326.912036797426
14308,1325.0878670161037
14692,1322.323338715787
14884,1317.8719565520728
20644,1315.3525518157542
21796,1307.129647946548
21988,1291.3199959844444
22180,1291.2514933839186
22372,1290.8429467734538
22756,1288.5654665753586
23332,1288.1822194372196
24484,1279.022379061081
24676,1278.9151250186203
25252,1278.8486315998584
25828,1277.9372827519708
28132,1263.7978628793705
31588,1255.2591216352146
33124,1255.1664264232606
39076,1255.1664264232604
