Evaluations,BestCost
100,3433.975121125301
292,3349.1735993701
484,3161.9738198178843
676,3137.6674705390983
868,3074.4959008696155
1060,3002.0093477549817
1252,2971.9969906072365
1444,2898.6785136392778
1636,2843.054022499125
1828,2811.1265996997563
2020,2780.2942155940855
2212,2746.436262997433
2404,2726.5499453097536
2596,2670.6640021047124
2788,2637.2284767426354
2980,2605.3717607527487
3172,2585.4676925187414
3364,2521.755376215263
3556,2484.5695325760144
3748,2450.9678559175054
3940,2439.892255688447
4132,2416.4200182023487
4324,2395.853563101956
4516,2378.5591541102476
4708,2339.2344813101054
4900,2323.4580949239235
5092,2302.8916398235306
5284,2272.277683172133
5668,2249.0991489869475
5860,2241.986107781473
6052,2235.8225151918505
6244,2220.5902287084355
6436,2212.91659940167
6628,2203.591274864116
6820,2196.255605350434
7012,2158.5978311884237
7204,2144.1838681228487
7396,2141.705067144553
7780,2135.935060008775
8356,2129.5141387686754
8548,2124.876477753079
8740,2119.5174238760183
8932,2108.942443512815
9124,2108.1140057630305
9316,2094.147905247077
9700,2080.508038203096
9892,2079.7250278579454
10084,2035.6552868081574
10468,2006.8312501181122
10660,1999.2106253518934
10852,1978.5285131971882
11044,1970.6257457637842
11236,1961.7220298647671
11428,1958.1909035227566
11620,1934.3231422315223
11812,1930.6537993618094
12004,1927.235727749465
12388,1904.9914329891028
12580,1899.9255835029596
12772,1898.7318319778253
12964,1898.7070677234701
13156,1886.7774185974004
13348,1836.7534758000468
13540,1828.9368954085387
13732,1819.281246061111
13924,1811.8901000002902
14308,1809.0814540012552
14500,1808.3635702889044
14692,1806.567661775719
14884,1804.3635702889044
15076,1802.9667067170471
15460,1771.6531425431651
15652,1769.4069312919298
15844,1757.7330384711852
16228,1738.6914470934328
16612,1726.0072176291785
16804,1719.2790574084602
17188,1717.4722588720015
17572,1711.1033315965624
17764,1709.9110247323988
17956,1703.6698154805292
18148,1703.669815480529
18532,1703.4211012623482
19108,1700.7879335458583
20068,1696.2067208862982
20260,1677.3628371855525
20644,1674.4528454727417
21220,1672.2512061295176
21412,1668.5066572881624
21796,1665.8734895716727
23140,1665.434931002555
24868,1662.0168593902106
26212,1657.8106359364508
26404,1655.7117816244636
26788,1648.0031261783515
28324,1645.7569149271162
30628,1640.8133681589807
31012,1639.8920892827314
52900,1637.5406679528965
68644,1637.4303864353765
263332,1636.7065680755622
266404,1633.630361514161
