Evaluations,BestCost
100,1853.3444292869333
292,1838.229506266411
484,1738.4958297349833
676,1733.969217027796
868,1636.0410422983127
1060,1631.7274020257119
1252,1582.2926841040548
1444,1576.2845556864045
1636,1572.0350978812767
1828,1554.308057178209
2020,1548.0088556180258
2212,1543.4693889321911
2404,1536.8929005489363
2788,1526.8028836067228
2980,1525.9931095505624
3172,1521.6377731316245
3364,1517.3241328590236
3556,1517.1285251296188
3940,1517.0768115415908
4132,1513.0558153877143
4708,1513.0041017996864
15268,1509.807794538663
29668,1509.704561791183
