Evaluations,BestCost
100,1494.8154225543647
292,1451.9226605660874
484,1345.986332969709
676,1317.5874044129885
868,1299.9585948384233
1060,1254.8560115226728
1252,1232.2534863151966
1444,1219.5630493567435
1636,1188.384494242849
1828,1177.1283073583604
2020,1155.8169265663141
2212,1150.9276833091044
2404,1141.5931929089857
2596,1124.5309147636628
2788,1110.677951581307
2980,1104.6031205030008
3172,1084.2125960002147
3364,1078.1377649219085
3556,1076.2895284779277
3748,1067.4063656766834
3940,1062.588722084078
4516,1055.5494784850416
4708,1043.3085620630793
4900,1042.5842547800075
5092,1037.4187901478008
5284,1035.4614482017857
5476,1020.8648392024205
5668,1013.5211019416648
5860,999.2447263561834
6052,991.9009890954278
6244,991.2976899317844
6436,982.2022060947403
6628,980.0818410643338
6820,974.054847528822
7396,973.1579011288576
7588,968.2666848101852
7780,964.0619386238444
8164,963.1669639758397
8356,963.1669639758395
8548,962.4551409745552
8740,962.0957943347347
8932,961.5944694546116
9508,951.2861037157223
9700,937.6466033446247
10084,925.7208088534071
10276,916.6291635430518
11044,907.8555001937848
12196,906.2981826146778
13156,903.1817062958745
13540,895.4739320598384
13924,895.2169337845347
14116,884.7365469137043
14308,883.9503939061684
14500,871.0779426696946
14884,847.587701372538
15268,846.5455282726983
15460,841.9983735354992
16228,841.1184478744138
16612,833.3435763970203
16804,831.434502668296
17188,825.5456122111758
17380,821.4967565695486
17764,816.1010682416052
18148,811.1776017520784
18532,809.5426567248703
19108,809.4577271946397
19300,806.0478377775989
19492,797.7962150219364
19684,794.4819980560778
19876,791.1939222482872
25636,788.5719403415474
26212,781.2620840950008
26596,780.6503703796413
27364,780.2007192637468
27748,775.2734488860092
27940,773.6250356919243
28132,772.86502405837
28324,771.1313132622781
28516,770.3713016287238
29476,769.4253569448806
30244,767.3940023685805
31012,764.5601605740223
31204,753.2213070539315
31396,750.0761580650098
31588,749.8428971789754
31780,749.6471259956936
32356,748.1898210967873
42916,744.4360100307123
43108,733.1531082557194
45220,732.4749437804775
45412,729.9039744916868
46564,729.4197063600733
46948,728.3498036047733
47140,727.9462955474507
73252,727.5049709045262
81700,720.4082639023745
82276,718.7646504155498
92452,718.3497549097291
