Evaluations,BestCost
100,3356.085782715968
292,3272.9200054530684
484,3140.026517708855
676,3065.449085971408
868,3027.9288949399365
1060,2974.8001640776397
1252,2929.230581919098
1444,2878.663981014543
1636,2848.0438926210168
1828,2784.5365085673297
2020,2740.5044383134514
2212,2710.106337749446
2404,2663.2971786867906
2596,2607.1967000371915
2788,2584.480214560659
2980,2547.223878018222
3172,2543.2941641710477
3364,2522.1361831519357
3556,2491.60985097275
3748,2463.095459851761
3940,2443.330822467021
4132,2402.269493225594
4324,2367.2930218017987
4516,2356.417641250537
4708,2347.1625509159826
4900,2329.144679447871
5092,2316.364140440972
5284,2303.1801908540247
5476,2286.3180810619147
5668,2260.109768284106
5860,2257.301526079235
6052,2245.3779346067713
6244,2231.588957654841
6628,2223.2537714249756
7012,2216.0304471875934
7396,2193.42415868702
7588,2158.6927855541726
7780,2139.594864828606
7972,2129.8966309819084
8356,2117.618735424787
8740,2109.668884664031
8932,2107.7296753047617
9124,2087.303009078668
9700,2084.2898646045232
10084,2067.8451973243837
10276,2067.5035877879736
10852,2062.3712570283146
11428,2055.411024402831
11812,2052.1232476179184
12004,2047.8053951945265
12580,1982.6090939499177
12772,1974.2463474430785
13156,1957.378902591757
13540,1956.3032101499864
14308,1935.8600941729026
15268,1933.2904255207052
15460,1916.3838223470661
16420,1912.5162714092455
17188,1896.6885555440797
17380,1893.8416896209753
17572,1886.4946483788121
17764,1876.398762333422
19108,1863.887932251041
19300,1845.7234213800764
19492,1836.0481423087535
23908,1835.2698259955764
24292,1827.927465637142
26020,1825.381165253984
29284,1819.40221677823
31972,1807.1630972438347
32164,1799.4059356728033
36196,1796.141443597877
36580,1795.216496844788
38308,1793.738280724136
41380,1793.4972237831503
52324,1784.029796425463
55204,1777.1858027631408
57892,1775.5021637030475
58468,1759.4619111177856
59236,1759.2502337464532
64228,1754.6148788762687
66724,1753.4363047728273
67684,1751.963213073403
71716,1750.8302656156377
73444,1750.2630702482456
77476,1748.7709710145484
