Evaluations,BestCost
100,2327.315492949536
292,2299.5345806206547
484,2246.0902242159336
676,2196.444435552221
868,2131.9607195330436
1060,2117.324538679646
1252,2098.8168269420808
1444,2081.070248358138
1636,2073.8115615059155
1828,2027.472725663297
2020,2022.9484814726727
2212,2009.7273198916296
2404,1998.875825159392
2596,1995.168687556152
2788,1992.067628195729
2980,1987.3852458520967
3556,1985.3444869019722
3748,1984.9785217074127
3940,1983.2896070914132
4708,1982.6831229831794
5284,1981.9568864693733
6052,1981.590921274814
6244,1957.5872412761091
6436,1957.1868943294805
6628,1949.0033402111744
6820,1945.849658474616
7012,1945.7276528888465
7204,1944.1360430241973
7396,1943.5295589159632
7588,1940.5030045243864
7780,1938.8045183498823
8164,1933.453643575099
8548,1933.0532966284704
9700,1931.372981544144
12772,1930.8826155120344
12964,1924.5356452865506
14116,1914.3064982500014
