Evaluations,BestCost
100,3336.697046783339
292,3025.5772786099647
484,2914.3320746969544
676,2829.884963655524
868,2770.9100006436456
1060,2710.07318918
1252,2683.572685246294
1444,2667.073204138628
1636,2571.2304397549506
1828,2538.7204850559
2020,2512.955621673219
2212,2463.5611646741636
2404,2455.534273365711
2596,2418.4408758233812
2788,2401.9293432617133
2980,2386.23951554877
3172,2373.9153510170304
3364,2362.9231638086835
3556,2315.7598077624534
3748,2299.248275200785
3940,2295.0277001973777
4132,2294.781966933673
4324,2253.955278370049
4516,2248.644776425009
4708,2237.3320639954327
4900,2213.5072787450704
5284,2209.7515592675068
5476,2199.8277785391724
5668,2197.9764790191907
5860,2188.052698290856
6244,2178.7246029521325
6436,2175.787735794912
6628,2161.4111303855393
6820,2158.9818122704064
7588,2155.958782674491
7780,2134.586773396283
8164,2127.442950969084
8548,2119.416059660632
8740,2088.597443247867
9316,2061.6273111091677
9700,2057.1017524395847
9892,2054.1648852823646
10084,2050.622695160993
10468,2049.69639371885
10660,2048.350979713384
11428,2041.2717787125534
12772,2020.0224833482794
13732,2017.1108699693814
13924,2016.2366291015735
14308,2016.2366291015733
15268,2009.3846732549105
15652,2005.9137296243784
15844,1986.352706740623
16036,1982.881763110091
16420,1967.6887346331514
16804,1967.688734633151
19492,1935.2213048649392
21604,1932.3096914860412
27172,1931.002407064469
28516,1929.6199278049885
29092,1929.4769725612655
32740,1928.5104312842677
38692,1915.696247644778
40036,1913.4280787153375
40228,1910.402441161621
40420,1901.319677654108
43492,1893.9914640691768
50404,1889.2761444605512
52516,1883.647287855842
52900,1882.648031259229
53092,1874.819322202527
53860,1870.7310769192886
54628,1866.518049188459
54820,1863.7970118561184
55012,1863.2430735375133
55204,1858.3925264736563
55396,1854.149044102437
55972,1854.1490441024366
62116,1854.1069249767693
66532,1854.0627628297343
66916,1854.062762829734
74020,1849.401319972258
84964,1849.396782263348
87460,1849.394795447726
145252,1848.6753564280266
