Evaluations,BestCost
0,3108.1814991722144
100,1494.7320196159567
300,1488.0355155094899
500,1395.7993611860113
700,1381.1821790333508
900,1333.721004243484
1100,1326.7852269251189
1300,1312.5147999345143
1500,1300.757756353523
1700,1282.315155031521
1900,1266.3801594398283
2100,1260.4126643879422
2300,1247.4683478804814
2500,1231.2188796622631
2700,1228.081397260038
2900,1224.101472803548
3100,1222.1408127137952
4100,1219.731988111199
4300,1219.0401016665232
4500,1218.4201954614653
4900,1214.4796038590925
5700,1214.00118233021
5900,1211.2593596403992
6700,1211.1283411153254
6900,1193.2152641292337
7500,1189.7374443718168
7700,1186.5720982610055
7900,1184.8825154038534
9500,1183.1327674531024
