Evaluations,BestCost
0,2766.6763884318
100,1224.0754728970603
296,1175.5822788465287
492,1165.171009658584
688,1133.193090549647
884,1123.8108293918322
1080,1097.2875171336082
1276,1063.843106473849
1472,1047.1576374655094
1668,1042.0455817598586
1864,1017.3934047900311
2060,1012.2813490843804
2256,1007.2997289525551
2452,1003.5033915836179
2648,1003.397119597845
2844,1001.7517922805466
3040,998.9297176418002
3236,995.1348557332567
3432,993.2901570571369
3628,991.2468944516647
3824,984.5283290202593
4020,974.0513265704743
4216,968.3055177059128
4412,961.3301134063724
4608,959.978302863083
4804,959.5846085862809
5000,957.5525387327602
5196,957.3519366953155
5392,957.24874488583
5588,957.0733219773136
5980,956.349279406118
7548,945.4821201652711
8136,944.9750577282119
8528,944.4547991829969
9508,941.4599937430816
9900,936.9962422671741
10292,936.8878212388862
10684,936.7818880677181
10880,936.5447076324582
11860,921.4911031113946
12056,920.334908668371
12644,918.2916460628986
12840,918.2779475067504
13624,918.1274159063338
