Evaluations,BestCost
0,3185.352859884756
100,1306.1346238032982
302,1298.453741341746
504,1290.6154400278003
706,1285.5498494756164
908,1249.3243734364578
1110,1233.5381584805198
1312,1219.59387800314
1514,1202.6690780385134
1716,1194.3800224681022
1918,1179.0591091833599
2120,1177.9397222011808
2322,1177.0405413485569
2524,1173.501942927697
2928,1171.483375092894
3534,1165.9313658132442
4342,1162.7477007012417
4746,1162.6584927293202
5756,1159.3720716615155
6564,1159.0338756138606
37874,1154.5064545107527
38076,1154.297743975669
38480,1154.0550552119792
39490,1151.6856186229936
117866,1147.1914350405498
213008,1140.2603149581091
