Evaluations,BestCost
0,3753.038717913438
100,1603.7583381516101
301,1591.8990870126977
502,1581.7137312564478
703,1573.7655774289926
904,1547.0499745805382
1105,1543.3665113808352
1306,1537.2696980684063
1507,1520.766344326041
1708,1515.5195161692252
1909,1497.7409650955708
2110,1489.5052109411365
2512,1460.0017962480504
2713,1453.9049829356215
3115,1428.3843583245439
3517,1420.605679379632
3718,1369.1318700244328
3919,1349.842810816856
4522,1343.3574139037614
4723,1336.5153845393177
5728,1329.4869401955198
5929,1329.3093648718232
6331,1327.0517027260169
6532,1325.7435918560416
7336,1324.1101272998787
10552,1322.2832516009973
57184,1320.5285709111602
349237,1314.310068763632
349438,1306.6088617521518
349639,1305.841647659241
350000,1305.3506840646
