Evaluations,BestCost
0,3677.686817190268
100,1761.3810685624953
300,1706.1902977421123
500,1568.2739571094392
700,1553.4838849666564
900,1501.2922106281067
1100,1452.2994733188502
1300,1444.8474871840044
1500,1437.8574053951106
1700,1419.3662095145387
1900,1407.5055849869568
2100,1402.5707274307106
2300,1399.2628439406294
2700,1378.1029407095207
2900,1376.7189953480984
3300,1373.977565869725
3700,1371.8993197020345
4500,1370.2410015725845
5100,1369.768865617585
8100,1368.1667707290935
8500,1367.9099744986943
9300,1367.6311907842114
9500,1366.7784118062877
12500,1366.7784118062875
12700,1366.4996280918044
34500,1364.3122715743875
34700,1364.3122715743873
34900,1362.4092660891206
44300,1352.0569312899281
45100,1348.208062019519
45300,1347.9895544273227
46100,1347.8061848210427
