Evaluations,BestCost
0,3940.2408606520808
100,1635.2644667556726
301,1634.2038623249352
502,1594.4218281760382
703,1550.2332202263738
904,1545.218184311233
1105,1522.9900798483318
1306,1464.6250210663477
1507,1450.9035053796094
1708,1420.3675467963947
1909,1391.172381396415
2110,1367.5284475062733
2311,1359.9197228847306
2512,1334.673112688386
2713,1326.770285211391
2914,1320.0057454183677
3115,1318.4584153382991
3316,1316.320267249395
3517,1313.5686565006347
4120,1302.7139547027105
4321,1292.7466815988087
4522,1289.1174740190222
5125,1289.0804864347804
5527,1287.5870866288183
5728,1282.3925302116256
5929,1275.923303632703
6130,1274.62692838228
6331,1274.0081803614855
6532,1268.3603553198604
6733,1266.795111207829
7537,1264.426719312179
7939,1261.8317401073007
8341,1259.8331656053042
8542,1257.6792501278371
16783,1255.1817288881573
17185,1253.0485944414515
17989,1253.0485944414513
