Evaluations,BestCost
0,3538.4794503978005
100,1820.112051664185
300,1804.725043180187
500,1761.682415869999
700,1658.2968931797568
900,1646.539564011846
1100,1591.7323496862457
1300,1543.5689742422292
1500,1450.435975719921
1700,1447.0635192032157
1900,1437.325688007744
2300,1421.938679523746
2500,1415.077416523571
2700,1409.9629861358114
2900,1406.2386759727076
3100,1404.7947573673562
3700,1403.3884412891598
5100,1399.5104926489432
5500,1398.4858860477707
31500,1395.8050395576872
316900,1395.457577930318
