Evaluations,BestCost
0,3110.322163990127
100,1478.0760764242732
298,1375.2891985896565
496,1343.8141112762364
694,1307.9412005900074
892,1288.402416795773
1090,1267.2856806092143
1288,1257.1729896716395
1486,1257.0082460883907
1684,1245.327011531918
1882,1245.1622679486693
2080,1241.350892486419
2278,1241.1861489031703
2476,1211.9285035793368
2674,1210.8514991739885
3070,1206.8581730979838
3268,1201.0702562600259
3466,1199.0085424707781
3664,1196.9519569485983
3862,1181.2525252153118
4258,1177.9127645518734
4852,1176.5671915166881
10792,1163.187384202863
15544,1155.7757151717724
15742,1147.711502001531
16138,1144.0571783733399
342046,1141.2733954716612
342244,1139.2116816824137
