Evaluations,BestCost
0,4120.741411258673
100,2057.5049361628085
302,2040.141739945457
504,1982.6416983770928
706,1968.2542667317523
908,1953.3418905394665
1110,1936.351672102024
1312,1906.5355720334785
1716,1899.9276146672576
1918,1855.665269468322
2120,1844.1636180044638
2322,1843.6874326679003
2524,1822.6685358872041
2726,1822.3576956528113
2928,1822.1923505506406
3736,1821.9284014165037
5756,1821.6546102668897
5958,1820.3950626780365
6160,1820.3422644713332
6564,1819.5756592085727
7574,1814.2452271812645
7978,1810.9914048575502
8180,1799.8539767790267
8382,1791.3351633805748
8988,1787.5559250042256
9392,1784.205861607562
11008,1784.2058616075617
11210,1783.4724769131294
11614,1783.438978327104
